"Bundesland / Messnetz";Stationscode;Stationsname;Stationsumgebung;"Art der Station";"Jahresmittelwert in µg/m³";"Zahl der Tageswerte über 50 µg/m3"
Baden-Württemberg;DEBW004;Eggenstein;"ländlich stadtnah";Hintergrund;19;8
Baden-Württemberg;DEBW006;Mannheim-Mitte;"städtisches Gebiet";Hintergrund;24;17
Baden-Württemberg;DEBW007;Mannheim-Süd;"städtisches Gebiet";Hintergrund;23;16
Baden-Württemberg;DEBW009;Heidelberg;"städtisches Gebiet";Hintergrund;22;13
Baden-Württemberg;DEBW010;Wiesloch;"vorstädtisches Gebiet";Hintergrund;19;10
Baden-Württemberg;DEBW013;"Stuttgart-Bad Cannstatt";"städtisches Gebiet";Hintergrund;23;16
Baden-Württemberg;DEBW015;Heilbronn;"städtisches Gebiet";Hintergrund;23;19
Baden-Württemberg;DEBW019;Ulm;"städtisches Gebiet";Hintergrund;20;14
Baden-Württemberg;DEBW023;"Weil am Rhein";"vorstädtisches Gebiet";Hintergrund;18;3
Baden-Württemberg;DEBW024;Ludwigsburg;"vorstädtisches Gebiet";Hintergrund;20;13
Baden-Württemberg;DEBW026;Plochingen;"vorstädtisches Gebiet";Hintergrund;20;13
Baden-Württemberg;DEBW027;Reutlingen;"städtisches Gebiet";Hintergrund;20;13
Baden-Württemberg;DEBW029;Aalen;"vorstädtisches Gebiet";Hintergrund;19;11
Baden-Württemberg;DEBW030;"Welzheimer Wald";"ländliches Gebiet";Hintergrund;14;4
Baden-Württemberg;DEBW031;Schwarzwald-Süd;"ländlich regional";Hintergrund;11;2
Baden-Württemberg;DEBW032;Pforzheim-Mitte;"städtisches Gebiet";Hintergrund;20;16
Baden-Württemberg;DEBW034;Waiblingen;"vorstädtisches Gebiet";Hintergrund;20;12
Baden-Württemberg;DEBW037;Freudenstadt;"vorstädtisches Gebiet";Hintergrund;12;1
Baden-Württemberg;DEBW038;Friedrichshafen;"städtisches Gebiet";Hintergrund;18;11
Baden-Württemberg;DEBW039;Villingen-Schwenningen;"vorstädtisches Gebiet";Hintergrund;16;3
Baden-Württemberg;DEBW042;Bernhausen;"vorstädtisches Gebiet";Hintergrund;23;21
Baden-Württemberg;DEBW046;Biberach;"vorstädtisches Gebiet";Hintergrund;18;4
Baden-Württemberg;DEBW052;Konstanz;"städtisches Gebiet";Hintergrund;20;11
