"Bundesland / Messnetz";Stationscode;Stationsname;Stationsumgebung;"Art der Station";"Jahresmittelwert in µg/m³";"Zahl der Tageswerte über 50 µg/m3"
Baden-Württemberg;DEBW004;Eggenstein;"ländlich stadtnah";Hintergrund;26;20
Baden-Württemberg;DEBW006;Mannheim-Mitte;"städtisches Gebiet";Hintergrund;28;28
Baden-Württemberg;DEBW007;Mannheim-Süd;"städtisches Gebiet";Hintergrund;28;23
Baden-Württemberg;DEBW009;Heidelberg;"städtisches Gebiet";Hintergrund;25;11
Baden-Württemberg;DEBW010;Wiesloch;"vorstädtisches Gebiet";Hintergrund;24;12
Baden-Württemberg;DEBW013;"Stuttgart-Bad Cannstatt";"städtisches Gebiet";Hintergrund;28;23
Baden-Württemberg;DEBW015;Heilbronn;"städtisches Gebiet";Hintergrund;30;34
Baden-Württemberg;DEBW019;Ulm;"städtisches Gebiet";Hintergrund;29;25
Baden-Württemberg;DEBW020;Rastatt;"vorstädtisches Gebiet";Hintergrund;26;22
Baden-Württemberg;DEBW021;Kehl-Süd;"vorstädtisches Gebiet";Hintergrund;28;32
Baden-Württemberg;DEBW023;"Weil am Rhein";"vorstädtisches Gebiet";Hintergrund;24;12
Baden-Württemberg;DEBW024;Ludwigsburg;"vorstädtisches Gebiet";Hintergrund;26;22
Baden-Württemberg;DEBW025;Esslingen;"städtisches Gebiet";Hintergrund;31;42
Baden-Württemberg;DEBW026;Plochingen;"vorstädtisches Gebiet";Hintergrund;26;24
Baden-Württemberg;DEBW027;Reutlingen;"städtisches Gebiet";Hintergrund;23;19
Baden-Württemberg;DEBW028;Göppingen;"städtisches Gebiet";Hintergrund;25;20
Baden-Württemberg;DEBW029;Aalen;"vorstädtisches Gebiet";Hintergrund;24;20
Baden-Württemberg;DEBW031;Schwarzwald-Süd;"ländlich regional";Hintergrund;14;0
Baden-Württemberg;DEBW032;Pforzheim-Mitte;"städtisches Gebiet";Hintergrund;25;20
Baden-Württemberg;DEBW034;Waiblingen;"vorstädtisches Gebiet";Hintergrund;25;20
Baden-Württemberg;DEBW035;Böblingen;"städtisches Gebiet";Hintergrund;24;17
Baden-Württemberg;DEBW037;Freudenstadt;"vorstädtisches Gebiet";Hintergrund;17;5
Baden-Württemberg;DEBW038;Friedrichshafen;"städtisches Gebiet";Hintergrund;26;27
Baden-Württemberg;DEBW039;Villingen-Schwenningen;"vorstädtisches Gebiet";Hintergrund;23;12
Baden-Württemberg;DEBW041;Rheinfelden;"städtisches Gebiet";Hintergrund;27;28
Baden-Württemberg;DEBW042;Bernhausen;"vorstädtisches Gebiet";Hintergrund;29;33
Baden-Württemberg;DEBW044;Mosbach;"vorstädtisches Gebiet";Hintergrund;25;13
Baden-Württemberg;DEBW046;Biberach;"vorstädtisches Gebiet";Hintergrund;26;25
Baden-Württemberg;DEBW050;Heidenheim;"vorstädtisches Gebiet";Hintergrund;24;18
Baden-Württemberg;DEBW052;Konstanz;"städtisches Gebiet";Hintergrund;28;37
Baden-Württemberg;DEBW054;Rottweil;"vorstädtisches Gebiet";Hintergrund;22;12
Baden-Württemberg;DEBW056;"Schwäbisch Hall";"vorstädtisches Gebiet";Hintergrund;26;20
Baden-Württemberg;DEBW059;Tauberbischofsheim;"vorstädtisches Gebiet";Hintergrund;22;10
Baden-Württemberg;DEBW060;Tuttlingen;"vorstädtisches Gebiet";Hintergrund;23;14
Baden-Württemberg;DEBW073;Neuenburg;"vorstädtisches Gebiet";Hintergrund;27;22
Baden-Württemberg;DEBW076;Baden-Baden;"vorstädtisches Gebiet";Hintergrund;22;11
Baden-Württemberg;DEBW081;Karlsruhe-Nordwest;"städtisches Gebiet";Hintergrund;26;23
Baden-Württemberg;DEBW084;Freiburg;"städtisches Gebiet";Hintergrund;22;14
Baden-Württemberg;DEBW087;"Schwäbische Alb";"ländlich regional";Hintergrund;19;7
Baden-Württemberg;DEBW094;Isny;"vorstädtisches Gebiet";Hintergrund;21;11
Baden-Württemberg;DEBW103;Odenwald;"ländliches Gebiet";Hintergrund;18;0
Baden-Württemberg;DEBW107;Tübingen;"vorstädtisches Gebiet";Hintergrund;25;22
Baden-Württemberg;DEBW005;Mannheim-Nord;"vorstädtisches Gebiet";Industrie;28;24
Baden-Württemberg;DEBW022;Kehl;"vorstädtisches Gebiet";Industrie;28;29
Baden-Württemberg;DEBW048;Ehingen;"städtisches Gebiet";Industrie;28;31
Baden-Württemberg;DEBW001;Karlsruhe-Mitte;"städtisches Gebiet";Verkehr;29;34
Baden-Württemberg;DEBW011;Stuttgart-Zuffenhausen;"städtisches Gebiet";Verkehr;31;40
Baden-Württemberg;DEBW040;Waldshut;"vorstädtisches Gebiet";Verkehr;25;14
Baden-Württemberg;DEBW080;"Karlsruhe Reinhold-Frank-Straße";"städtisches Gebiet";Verkehr;33;35
Baden-Württemberg;DEBW096;Ulm-Straße;"städtisches Gebiet";Verkehr;34;31
Baden-Württemberg;DEBW097;Freiburg-Straße;"städtisches Gebiet";Verkehr;28;23
Baden-Württemberg;DEBW098;"Mannheim Friedrichsring";"städtisches Gebiet";Verkehr;36;57
Baden-Württemberg;DEBW099;"Stuttgart Arnulf-Klett-Platz";"städtisches Gebiet";Verkehr;39;60
Baden-Württemberg;DEBW106;Leonberg-BAB;"vorstädtisches Gebiet";Verkehr;26;22
Baden-Württemberg;DEBW108;Karlsruhe-B10-Nord;"vorstädtisches Gebiet";Verkehr;28;15
Baden-Württemberg;DEBW109;Karlsruhe-B10-Süd;"vorstädtisches Gebiet";Verkehr;29;30
Bayern;DEBY002;Arzberg/Egerstraße;"vorstädtisches Gebiet";Hintergrund;39;77
Bayern;DEBY004;"Kleinwallstadt/Hofstetter Straße";"vorstädtisches Gebiet";Hintergrund;27;16
Bayern;DEBY005;Aschaffenburg/Bussardweg;"vorstädtisches Gebiet";Hintergrund;24;9
Bayern;DEBY007;Augsburg/Bourges-Platz;"städtisches Gebiet";Hintergrund;36;65
Bayern;DEBY009;Bamberg/Löwenbrücke;"städtisches Gebiet";Hintergrund;30;23
Bayern;DEBY012;"Burghausen/Marktler Straße";"vorstädtisches Gebiet";Hintergrund;37;68
Bayern;DEBY020;Hof/LfU;"vorstädtisches Gebiet";Hintergrund;35;64
Bayern;DEBY030;"Saal a.d. Donau/Regensburger Straße";"vorstädtisches Gebiet";Hintergrund;29;33
Bayern;DEBY031;"Kempten (Allgäu)/Westendstraße";"vorstädtisches Gebiet";Hintergrund;29;31
Bayern;DEBY032;Kulmbach/Konrad-Adenauer-Straße;"städtisches Gebiet";Hintergrund;28;29
Bayern;DEBY039;München/Lothstraße;"städtisches Gebiet";Hintergrund;34;51
