"Bundesland / Messnetz";Stationscode;Stationsname;Stationsumgebung;"Art der Station";"Jahresmittelwert in µg/m³";"Zahl der Tageswerte über 50 µg/m3"
Baden-Württemberg;DEBW004;Eggenstein;"ländlich stadtnah";Hintergrund;24;22
Baden-Württemberg;DEBW006;Mannheim-Mitte;"städtisches Gebiet";Hintergrund;26;18
Baden-Württemberg;DEBW007;Mannheim-Süd;"städtisches Gebiet";Hintergrund;27;20
Baden-Württemberg;DEBW009;Heidelberg;"städtisches Gebiet";Hintergrund;26;21
Baden-Württemberg;DEBW010;Wiesloch;"vorstädtisches Gebiet";Hintergrund;23;18
Baden-Württemberg;DEBW013;"Stuttgart-Bad Cannstatt";"städtisches Gebiet";Hintergrund;26;30
Baden-Württemberg;DEBW015;Heilbronn;"städtisches Gebiet";Hintergrund;26;26
Baden-Württemberg;DEBW019;Ulm;"städtisches Gebiet";Hintergrund;25;26
Baden-Württemberg;DEBW023;"Weil am Rhein";"vorstädtisches Gebiet";Hintergrund;23;24
Baden-Württemberg;DEBW024;Ludwigsburg;"vorstädtisches Gebiet";Hintergrund;25;26
Baden-Württemberg;DEBW026;Plochingen;"vorstädtisches Gebiet";Hintergrund;25;28
Baden-Württemberg;DEBW027;Reutlingen;"städtisches Gebiet";Hintergrund;27;30
Baden-Württemberg;DEBW029;Aalen;"vorstädtisches Gebiet";Hintergrund;23;25
Baden-Württemberg;DEBW030;"Welzheimer Wald";"ländliches Gebiet";Hintergrund;18;8
Baden-Württemberg;DEBW031;Schwarzwald-Süd;"ländlich regional";Hintergrund;11;0
Baden-Württemberg;DEBW032;Pforzheim-Mitte;"städtisches Gebiet";Hintergrund;24;24
Baden-Württemberg;DEBW034;Waiblingen;"vorstädtisches Gebiet";Hintergrund;24;25
Baden-Württemberg;DEBW037;Freudenstadt;"vorstädtisches Gebiet";Hintergrund;15;4
Baden-Württemberg;DEBW038;Friedrichshafen;"städtisches Gebiet";Hintergrund;23;24
Baden-Württemberg;DEBW039;Villingen-Schwenningen;"vorstädtisches Gebiet";Hintergrund;20;15
Baden-Württemberg;DEBW042;Bernhausen;"vorstädtisches Gebiet";Hintergrund;28;38
Baden-Württemberg;DEBW046;Biberach;"vorstädtisches Gebiet";Hintergrund;23;22
Baden-Württemberg;DEBW052;Konstanz;"städtisches Gebiet";Hintergrund;24;30
Baden-Württemberg;DEBW056;"Schwäbisch Hall";"vorstädtisches Gebiet";Hintergrund;25;25
Baden-Württemberg;DEBW059;Tauberbischofsheim;"vorstädtisches Gebiet";Hintergrund;21;14
Baden-Württemberg;DEBW073;Neuenburg;"vorstädtisches Gebiet";Hintergrund;23;23
Baden-Württemberg;DEBW076;Baden-Baden;"vorstädtisches Gebiet";Hintergrund;20;17
Baden-Württemberg;DEBW081;Karlsruhe-Nordwest;"städtisches Gebiet";Hintergrund;24;25
Baden-Württemberg;DEBW084;Freiburg;"städtisches Gebiet";Hintergrund;21;18
Baden-Württemberg;DEBW087;"Schwäbische Alb";"ländlich regional";Hintergrund;16;6
Baden-Württemberg;DEBW094;Isny;"vorstädtisches Gebiet";Hintergrund;22;22
Baden-Württemberg;DEBW103;Odenwald;"ländliches Gebiet";Hintergrund;18;6
Baden-Württemberg;DEBW107;Tübingen;"vorstädtisches Gebiet";Hintergrund;23;22
Baden-Württemberg;DEBW110;Pfullendorf;"vorstädtisches Gebiet";Hintergrund;22;17
Baden-Württemberg;DEBW111;Offenburg;"vorstädtisches Gebiet";Hintergrund;23;20
Baden-Württemberg;DEBW112;Gärtringen;"vorstädtisches Gebiet";Hintergrund;22;15
