"Bundesland / Messnetz";Stationscode;Stationsname;Stationsumgebung;"Art der Station";"Jahresmittelwert in µg/m³";"Zahl der Tageswerte über 50 µg/m3"
Baden-Württemberg;DEBW004;Eggenstein;"ländlich stadtnah";Hintergrund;23;17
Baden-Württemberg;DEBW006;Mannheim-Mitte;"städtisches Gebiet";Hintergrund;27;28
Baden-Württemberg;DEBW007;Mannheim-Süd;"städtisches Gebiet";Hintergrund;27;29
Baden-Württemberg;DEBW009;Heidelberg;"städtisches Gebiet";Hintergrund;24;23
Baden-Württemberg;DEBW010;Wiesloch;"vorstädtisches Gebiet";Hintergrund;22;17
Baden-Württemberg;DEBW013;"Stuttgart-Bad Cannstatt";"städtisches Gebiet";Hintergrund;26;23
Baden-Württemberg;DEBW015;Heilbronn;"städtisches Gebiet";Hintergrund;27;31
Baden-Württemberg;DEBW019;Ulm;"städtisches Gebiet";Hintergrund;25;19
Baden-Württemberg;DEBW020;Rastatt;"vorstädtisches Gebiet";Hintergrund;24;16
Baden-Württemberg;DEBW021;Kehl-Süd;"vorstädtisches Gebiet";Hintergrund;23;16
Baden-Württemberg;DEBW023;"Weil am Rhein";"vorstädtisches Gebiet";Hintergrund;21;13
Baden-Württemberg;DEBW024;Ludwigsburg;"vorstädtisches Gebiet";Hintergrund;24;21
Baden-Württemberg;DEBW025;Esslingen;"städtisches Gebiet";Hintergrund;27;21
Baden-Württemberg;DEBW026;Plochingen;"vorstädtisches Gebiet";Hintergrund;24;16
Baden-Württemberg;DEBW027;Reutlingen;"städtisches Gebiet";Hintergrund;20;12
Baden-Württemberg;DEBW028;Göppingen;"städtisches Gebiet";Hintergrund;22;17
Baden-Württemberg;DEBW029;Aalen;"vorstädtisches Gebiet";Hintergrund;21;14
Baden-Württemberg;DEBW031;Schwarzwald-Süd;"ländlich regional";Hintergrund;11;0
Baden-Württemberg;DEBW032;Pforzheim-Mitte;"städtisches Gebiet";Hintergrund;24;25
Baden-Württemberg;DEBW034;Waiblingen;"vorstädtisches Gebiet";Hintergrund;22;15
Baden-Württemberg;DEBW035;Böblingen;"städtisches Gebiet";Hintergrund;22;11
Baden-Württemberg;DEBW037;Freudenstadt;"vorstädtisches Gebiet";Hintergrund;13;0
Baden-Württemberg;DEBW038;Friedrichshafen;"städtisches Gebiet";Hintergrund;22;19
Baden-Württemberg;DEBW039;Villingen-Schwenningen;"vorstädtisches Gebiet";Hintergrund;17;6
