"Bundesland / Messnetz";Stationscode;Stationsname;Stationsumgebung;"Art der Station";"Jahresmittelwert in µg/m³";"Zahl der Tageswerte über 50 µg/m3"
Baden-Württemberg;DEBW004;Eggenstein;"ländlich stadtnah";Hintergrund;23;10
Baden-Württemberg;DEBW007;Mannheim-Süd;"städtisches Gebiet";Hintergrund;24;20
Baden-Württemberg;DEBW009;Heidelberg;"städtisches Gebiet";Hintergrund;22;11
Baden-Württemberg;DEBW010;Wiesloch;"vorstädtisches Gebiet";Hintergrund;21;12
Baden-Württemberg;DEBW013;"Stuttgart-Bad Cannstatt";"städtisches Gebiet";Hintergrund;23;14
Baden-Württemberg;DEBW015;Heilbronn;"städtisches Gebiet";Hintergrund;24;16
Baden-Württemberg;DEBW019;Ulm;"städtisches Gebiet";Hintergrund;23;12
Baden-Württemberg;DEBW023;"Weil am Rhein";"vorstädtisches Gebiet";Hintergrund;19;6
Baden-Württemberg;DEBW024;Ludwigsburg;"vorstädtisches Gebiet";Hintergrund;22;14
Baden-Württemberg;DEBW026;Plochingen;"vorstädtisches Gebiet";Hintergrund;23;12
Baden-Württemberg;DEBW029;Aalen;"vorstädtisches Gebiet";Hintergrund;20;7
Baden-Württemberg;DEBW030;"Welzheimer Wald";"ländliches Gebiet";Hintergrund;17;5
Baden-Württemberg;DEBW031;Schwarzwald-Süd;"ländlich regional";Hintergrund;11;1
Baden-Württemberg;DEBW032;Pforzheim-Mitte;"städtisches Gebiet";Hintergrund;21;9
Baden-Württemberg;DEBW034;Waiblingen;"vorstädtisches Gebiet";Hintergrund;22;9
Baden-Württemberg;DEBW037;Freudenstadt;"vorstädtisches Gebiet";Hintergrund;14;1
Baden-Württemberg;DEBW038;Friedrichshafen;"städtisches Gebiet";Hintergrund;21;11
Baden-Württemberg;DEBW039;Villingen-Schwenningen;"vorstädtisches Gebiet";Hintergrund;19;4
Baden-Württemberg;DEBW042;Bernhausen;"vorstädtisches Gebiet";Hintergrund;23;16
Baden-Württemberg;DEBW046;Biberach;"vorstädtisches Gebiet";Hintergrund;19;6
Baden-Württemberg;DEBW052;Konstanz;"städtisches Gebiet";Hintergrund;24;21
Baden-Württemberg;DEBW056;"Schwäbisch Hall";"vorstädtisches Gebiet";Hintergrund;23;13
Baden-Württemberg;DEBW059;Tauberbischofsheim;"vorstädtisches Gebiet";Hintergrund;20;10
Baden-Württemberg;DEBW073;Neuenburg;"vorstädtisches Gebiet";Hintergrund;23;12
Baden-Württemberg;DEBW076;Baden-Baden;"vorstädtisches Gebiet";Hintergrund;19;7
Baden-Württemberg;DEBW081;Karlsruhe-Nordwest;"städtisches Gebiet";Hintergrund;22;11
Baden-Württemberg;DEBW084;Freiburg;"städtisches Gebiet";Hintergrund;19;9
Baden-Württemberg;DEBW087;"Schwäbische Alb";"ländlich regional";Hintergrund;15;4
Baden-Württemberg;DEBW103;Odenwald;"ländliches Gebiet";Hintergrund;15;0
Baden-Württemberg;DEBW107;Tübingen;"vorstädtisches Gebiet";Hintergrund;20;10
Baden-Württemberg;DEBW005;Mannheim-Nord;"vorstädtisches Gebiet";Industrie;23;14
Baden-Württemberg;DEBW022;Kehl;"vorstädtisches Gebiet";Industrie;23;12
Baden-Württemberg;DEBW001;Karlsruhe-Mitte;"städtisches Gebiet";Verkehr;24;14
Baden-Württemberg;DEBW011;Stuttgart-Zuffenhausen;"städtisches Gebiet";Verkehr;27;29
Baden-Württemberg;DEBW040;Waldshut;"vorstädtisches Gebiet";Verkehr;22;12
Baden-Württemberg;DEBW080;"Karlsruhe Reinhold-Frank-Straße";"städtisches Gebiet";Verkehr;29;25
Baden-Württemberg;DEBW098;"Mannheim Friedrichsring";"städtisches Gebiet";Verkehr;31;41
Baden-Württemberg;DEBW099;"Stuttgart Arnulf-Klett-Platz";"städtisches Gebiet";Verkehr;34;42
Bayern;DEBY002;Arzberg/Egerstraße;"vorstädtisches Gebiet";Hintergrund;27;28
Bayern;DEBY004;"Kleinwallstadt/Hofstetter Straße";"vorstädtisches Gebiet";Hintergrund;24;17
Bayern;DEBY005;Aschaffenburg/Bussardweg;"vorstädtisches Gebiet";Hintergrund;25;20
Bayern;DEBY007;Augsburg/Bourges-Platz;"städtisches Gebiet";Hintergrund;27;32
Bayern;DEBY009;Bamberg/Löwenbrücke;"städtisches Gebiet";Hintergrund;26;23
Bayern;DEBY012;"Burghausen/Marktler Straße";"vorstädtisches Gebiet";Hintergrund;26;28
Bayern;DEBY013;Mehring/Sportplatz;"ländlich regional";Hintergrund;20;4
Bayern;DEBY020;Hof/LfU;"vorstädtisches Gebiet";Hintergrund;23;12
Bayern;DEBY030;"Saal a.d. Donau/Regensburger Straße";"vorstädtisches Gebiet";Hintergrund;26;24
Bayern;DEBY031;"Kempten (Allgäu)/Westendstraße";"vorstädtisches Gebiet";Hintergrund;20;7
Bayern;DEBY032;Kulmbach/Konrad-Adenauer-Straße;"städtisches Gebiet";Hintergrund;23;15
Bayern;DEBY039;München/Lothstraße;"städtisches Gebiet";Hintergrund;28;35
Bayern;DEBY047;"Naila/Selbitzer Berg";"ländlich stadtnah";Hintergrund;19;8
Bayern;DEBY049;"Neustadt a.d. Donau/Eining";"ländlich regional";Hintergrund;23;17
Bayern;DEBY052;Neu-Ulm/Gabelsbergerstraße;"städtisches Gebiet";Hintergrund;29;28
Bayern;DEBY058;Nürnberg/Muggenhof;"städtisches Gebiet";Hintergrund;27;22
Bayern;DEBY062;"Regen/Bodenmaiser Straße";"vorstädtisches Gebiet";Hintergrund;22;12
Bayern;DEBY067;"Schwandorf/Wackersdorfer Straße";"vorstädtisches Gebiet";Hintergrund;29;37
Bayern;DEBY068;Schweinfurt/Obertor;"städtisches Gebiet";Hintergrund;24;14
